Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,logische Sortierung,Kommentar
fol. 11r,KB-E2_GB-C_023,#023,KB-E2 529-x,262,CClxiii,,
fol. 11v,KB-E2_GB-C_024,#024,KB-E2 530-x,262,,,
fol. 12r,KB-E2_GB-C_025,#025,KB-E2 531-x,263,CClxiiii,,
fol. 12v,KB-E2_GB-C_026,#026,(leer),263,,,
fol. 13r,KB-E2_GB-C_027,#027,(leer),265,CClxvi,,"Das Blatt mit 264 ist verloren gegangen, es fehlt also kein Scan"
fol. 13v,KB-E2_GB-C_028,#028,(leer),265,,,
fol. 14r,KB-E2_GB-C_029,#029,KB-E2 535-x,266,CClxvii,T,
fol. 14v,KB-E2_GB-C_030,#030,KB-E2 536-x,266,,,
fol. 15r,KB-E2_GB-C_031,#031,KB-E2 537-x,267,CClxviii,,
fol. 15v,KB-E2_GB-C_032,#032,KB-E2 538-x,267,,,
fol. 16r,KB-E2_GB-C_033,#033,KB-E2 539-x,268,CClxviiii,,
fol. 16v,KB-E2_GB-C_034,#034,KB-E2 540-x,268,,,
fol. 17r,KB-E2_GB-C_035,#035,KB-E2 541-x,269,CClxx,,
fol. 17v,KB-E2_GB-C_036,#036,KB-E2 542-x,269,,,
fol. 18r,KB-E2_GB-C_037,#037,KB-E2 543-x,270,CClxxi,,
fol. 18v,KB-E2_GB-C_038,#038,KB-E2 544-x,270,,,
fol. 19r,KB-E2_GB-C_039,#039,KB-E2 545-x,271,CClxxii,,
fol. 19v,KB-E2_GB-C_040,#040,KB-E2 546-x,271,,,
fol. 20r,KB-E2_GB-C_041,#041,KB-E2 547-x,272,CClxxiii,U,
fol. 20v,KB-E2_GB-C_042,#042,KB-E2 548-x,272,,,
fol. 21r,KB-E2_GB-C_043,#043,KB-E2 549-x,273,CClxxiiii,,
fol. 21v,KB-E2_GB-C_044,#044,KB-E2 550-x,273,,,
fol. 22r,KB-E2_GB-C_045,#045,KB-E2 551-x,274,CClxxv,,
fol. 22v,KB-E2_GB-C_046,#046,KB-E2 552-x,274,,,
fol. 23r,KB-E2_GB-C_047,#047,KB-E2 553-x,275,CClxxvi,,
fol. 23v,KB-E2_GB-C_048,#048,KB-E2 554-x,275,,,
fol. 24r,KB-E2_GB-C_049,#049,KB-E2 555-x,276,CClxxvii,,
fol. 24v,KB-E2_GB-C_050,#050,KB-E2 556-x,276,,,
fol. 25r,KB-E2_GB-C_051,#051,KB-E2 557-x,277,CClxxviii,,
fol. 25v,KB-E2_GB-C_052,#052,(leer),277,,,
fol. 26r,KB-E2_GB-C_053,#053,KB-E2 559-x,278,CClxxviiii,,
fol. 26v,KB-E2_GB-C_054,#054,KB-E2 560-x,278,,,
fol. 27r,KB-E2_GB-C_055,#055,KB-E2 561-x,279,CClxxx,,
fol. 27v,KB-E2_GB-C_056,#056,KB-E2 562-x,279,,,
fol. 28r,KB-E2_GB-C_057,#057,KB-E2 563-x,280,CClxxxi,,
fol. 28v,KB-E2_GB-C_058,#058,KB-E2 564-x,280,,,
fol. 29r,KB-E2_GB-C_059,#059,KB-E2 565-x,281,CClxxxii,,
fol. 29v,KB-E2_GB-C_060,#060,KB-E2 566-x,281,,,
fol. 30r,KB-E2_GB-C_061,#061,KB-E2 567-x,282,CClxxxiii,,
fol. 30v,KB-E2_GB-C_062,#062,KB-E2 568-x,282,,,
fol. 31r,KB-E2_GB-C_063,#063,KB-E2 569-x,283,CClxxxiiii,,
fol. 31v,KB-E2_GB-C_064,#064,KB-E2 570-x,283,,,
fol. 32r,KB-E2_GB-C_065,#065,KB-E2 571-x,284,CClxxxv,W,
