Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,Kommentar
fol. 132r,KB-E_265,#265,KB-E 265-x,131,Cxxxii,
fol. 132v,KB-E_266,#266,KB-E 266-x,131,,
fol. 133r,KB-E_267,#267,KB-E 267-x,132,Cxxxiii,
fol. 133v,KB-E_268,#268,KB-E 268-x,132,,
fol. 134r,KB-E_269,#269,KB-E 269-x,133,Cxxxiiii,
fol. 134v,KB-E_270,#270,KB-E 270-x,133,,
fol. 135r,KB-E_271,#271,KB-E 271-x,134,Cxxxv,
fol. 135v,KB-E_272,#272,KB-E 272-x,134,,
fol. 136r,KB-E_273,#273,KB-E 273-x,135,Cxxxvi,
fol. 136v,KB-E_274,#274,KB-E 274-x,135,,
fol. 137r,KB-E_275,#275,(leer),136,Cxxxvii,
fol. 137v,KB-E_276,#276,(leer),136,,
fol. 138r,KB-E_277,#277,(leer),137,Cxxxviii,
fol. 138v,KB-E_278,#278,(leer),137,,
fol. 139r,KB-E_279,#279,(leer),138,Cxxxviiii,
fol. 139v,KB-E_280,#280,(leer),138,,
fol. 140r,KB-E_281,#281,(leer),139,Cxl,
fol. 140v,KB-E_282,#282,(leer),139,,
fol. 141r,KB-E_283,#283,(leer),140,Cxli,
fol. 141v,KB-E_284,#284,(leer),140,,
fol. 142r,KB-E_285,#285,(leer),141,Cxlii,
fol. 142v,KB-E_286,#286,(leer),141,,
fol. 143r,KB-E_287,#287,KB-E 287-x,142,Cxliii,
fol. 143v,KB-E_288,#288,KB-E 288-x,142,,
fol. 144r,KB-E_289,#289,KB-E 289-x,143,Cxliii,
fol. 144v,KB-E_290,#290,KB-E 290-x,143,,
fol. 145r,KB-E_291,#291,KB-E 291-x,144,Cxlv,
fol. 145v,KB-E_292,#292,KB-E 292-x,144,,
fol. 146r,KB-E_293,#293,KB-E 293-x,145,Cxlvi,
fol. 146v,KB-E_294,#294,KB-E 294-x,145,,
fol. 147r,KB-E_295,#295,KB-E 295-x,146,Cxlvii,
fol. 147v,KB-E_296,#296,KB-E 296-x,146,,
fol. 148r,KB-E_297,#297,KB-E 297-x,147,Cxlviii,
fol. 148v,KB-E_298,#298,KB-E 298-x,147,,
fol. 149r,KB-E_299,#299,KB-E 299-x,148,Cxlviii,
fol. 149v,KB-E_300,#300,KB-E 300-x,148,,
fol. 150r,KB-E_301,#301,KB-E 301-x,149,Cl,
fol. 150v,KB-E_302,#302,KB-E 302-x,149,,
fol. 151r,KB-E_303,#303,KB-E 303-x,150,Cli,
fol. 151v,KB-E_304,#304,KB-E 304-x,150,,
fol. 152r,KB-E_305,#305,KB-E 305-x,151,Clii,
fol. 152v,KB-E_306,#306,KB-E 306-x,151,,
fol. 153r,KB-E_307,#307,KB-E 307-x,152,Cliii,
fol. 153v,KB-E_308,#308,(leer),152,,
fol. 154r,KB-E_309,#309,KB-E 309-x,153,Cliiii,
fol. 154v,KB-E_310,#310,KB-E 310-x,153,,
fol. 155r,KB-E_311,#311,KB-E 311-x,154,Clv,
fol. 155v,KB-E_312,#312,KB-E 312-x,154,,
fol. 156r,KB-E_313,#313,KB-E 313-x,155,Clvi,
fol. 156v,KB-E_314,#314,KB-E 314-x,155,,
fol. 157r,KB-E_315,#315,(leer),156,Clvii,
fol. 157v,KB-E_316,#316,(leer),156,,
fol. 158r,KB-E_317,#317,(leer),157,Clviii,
fol. 158v,KB-E_318,#318,(leer),157,,
fol. 159r,KB-E_319,#319,(leer),158,Clviiii,
fol. 159v,KB-E_320,#320,(leer),158,,
fol. 160r,KB-E_321,#321,(leer),159,Clx,
fol. 160v,KB-E_322,#322,(leer),159,,
fol. 161r,KB-E_323,#323,(leer),160,Clxi,
fol. 161v,KB-E_324,#324,(leer),160,,
fol. 162r,KB-E_325,#325,(leer),161,Clxii,
